RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Target
Alexandre Pantoja,Kai Asakura,-250.0,215.0,40.0,215.0,1
Shavkat Rakhmonov,Ian Machado Garry,-210.0,295.0,47.619,295.0,1
Ciryl Gane,Alexander Volkov,-380.0,300.0,26.3158,300.0,1
Bryce Mitchell,Kron Gracie,-950.0,625.0,10.5263,625.0,1
Nate Landwehr,Dooho Choi,-130.0,110.0,76.9231,110.0,0
Dominick Reyes,Anthony Smith,-380.0,300.0,26.3158,300.0,1
Vicente Luque,Themba Gorimbo,-650.0,-162.0,15.3846,61.7284,1
Movsar Evloev,Aljamain Sterling,-238.0,195.0,42.0168,195.0,1
Randy Brown,Bryan Battle,150.0,-180.0,150.0,55.5556,0
Chris Weidman,Eryk Anders,-112.0,-108.0,89.2857,92.5926,0
Cody Durden,Joshua Van,142.0,-170.0,142.0,58.8235,0
Michael Chiesa,Max Griffin,-130.0,110.0,76.9231,110.0,1
Clay Guida,Chase Hooper,700.0,-1100.0,700.0,9.0909,0
Kennedy Nzechukwu,Lukasz Brzeski,-550.0,410.0,18.1818,410.0,1
Petr Yan,Deiveson Figueiredo,-305.0,245.0,32.7869,245.0,1
Yan Xiaonan,Tabatha Ricci,-198.0,164.0,50.5051,164.0,1
Wang Cong,Gabriella Fernandes,-950.0,750.0,10.5263,750.0,0
Volkan Oezdemir,Carlos Ulberg,215.0,-265.0,215.0,37.7358,0
Zhang Mingyang,Ozzy Diaz,-225.0,210.0,44.4444,210.0,1
Baergeng Jieleyisi,SuYoung You,190.0,-230.0,190.0,43.4783,0
Kiru Sahota,DongHun Choi,102.0,-122.0,102.0,81.9672,0
Shi Ming,Feng Xiaocan,380.0,-490.0,380.0,20.4082,1
Nyamjargal Tumendemberel,Carlos Hernandez,102.0,-122.0,102.0,81.9672,0
Lone'er Kavanagh,Jose Ochoa,-310.0,250.0,32.2581,250.0,1
Xiao Long,Quang Le,-144.0,136.0,69.4444,136.0,1
Maheshate,Nikolas Motta,-245.0,200.0,40.8163,200.0,0
Jon Jones,Stipe Miocic,-550.0,410.0,18.1818,410.0,1
Charles Oliveira,Michael Chandler,-265.0,215.0,37.7358,215.0,1
Bo Nickal,Paul Craig,-1350.0,800.0,7.4074,800.0,1
Viviane Araujo,Karine Silva,235.0,-290.0,235.0,34.4828,1
Mauricio Ruffy,James Llontop,-1000.0,650.0,10.0,650.0,1
Jonathan Martinez,Marcus McGhee,-105.0,-115.0,95.2381,86.9565,0
Jim Miller,Damon Jackson,195.0,-238.0,195.0,42.0168,1
David Onama,Roberto Romero,-1450.0,850.0,6.8966,850.0,1
Marcin Tybura,Jhonata Diniz,-105.0,-115.0,95.2381,86.9565,1
Mickey Gall,Ramiz Brahimaj,-170.0,142.0,58.8235,142.0,0
Bassil Hafez,Oban Elliott,250.0,-310.0,250.0,32.2581,0
Neil Magny,Carlos Prates,550.0,-800.0,550.0,12.5,0
Gerald Meerschaert,Reinier de Ridder,250.0,-310.0,250.0,32.2581,0
Gaston Bolanos,Cortavious Romious,205.0,-250.0,205.0,40.0,1
Luana Pinheiro,Gillian Robertson,360.0,-470.0,360.0,21.2766,0
Mansur Abdul-Malik,Dusko Todorovic,-485.0,370.0,20.6186,370.0,1
Brandon Moreno,Amir Albazi,-180.0,150.0,55.5556,150.0,1
Erin Blanchfield,Rose Namajunas,-155.0,130.0,64.5161,130.0,1
Caio Machado,Brendson Ribeiro,-192.0,160.0,52.0833,160.0,0
Ariane da Silva,Jasmine Jasudavicius,190.0,-250.0,190.0,40.0,0
Marc-Andre Barriault,Dustin Stoltzfus,-270.0,220.0,37.037,220.0,0
Mike Malott,Trevin Giles,-375.0,295.0,26.6667,295.0,1
Ilia Topuria,Max Holloway,-305.0,245.0,32.7869,245.0,1
Robert Whittaker,Khamzat Chimaev,200.0,-245.0,200.0,40.8163,0
Magomed Ankalaev,Aleksandar Rakic,-340.0,270.0,29.4118,270.0,1
Lerone Murphy,Dan Ige,-340.0,270.0,29.4118,270.0,1
Shara Magomedov,Armen Petrosyan,-166.0,140.0,60.241,140.0,1
Ibo Aslan,Rafael Cerqueira,-108.0,-112.0,92.5926,89.2857,1
Geoff Neal,Rafael Dos Anjos,-245.0,200.0,40.8163,200.0,1
Mateusz Rebecki,Myktybek Orolbai,215.0,-265.0,215.0,37.7358,1
Abus Magomedov,Brunno Ferreira,-155.0,130.0,64.5161,130.0,1
Kennedy Nzechukwu,Chris Barnett,-800.0,550.0,12.5,550.0,1
Farid Basharat,Victor Hugo,-575.0,425.0,17.3913,425.0,1
Ismail Naurdiev,Bruno Silva,-148.0,124.0,67.5676,124.0,1
Rinat Fakhretdinov,Carlos Leal,-218.0,180.0,45.8716,180.0,1
Anthony Hernandez,Michel Pereira,-162.0,136.0,61.7284,136.0,1
Rob Font,Kyler Phillips,455.0,-625.0,455.0,16.0,1
Charles Johnson,Sumudaerji,-305.0,245.0,32.7869,245.0,1
Jake Hadley,Cameron Smotherman,-575.0,425.0,17.3913,425.0,0
Darren Elkins,Daniel Pineda,-170.0,142.0,58.8235,142.0,1
Matheus Nicolau,Asu Almabayev,205.0,-250.0,205.0,40.0,0
Brad Katona,Jean Matsumoto,170.0,-205.0,170.0,48.7805,0
Joselyne Edwards,Tamires Vidal,-258.0,210.0,38.7597,210.0,1
Jessica Penne,Elise Reed,190.0,-230.0,190.0,43.4783,0
Melissa Martinez,Alice Ardelean,-155.0,130.0,64.5161,130.0,1
Austen Lane,Robelis Despaigne,330.0,-425.0,330.0,23.5294,1
Grant Dawson,Rafa Garcia,-380.0,300.0,26.3158,300.0,1
Daniel Rodriguez,Alex Morono,-245.0,200.0,40.8163,200.0,1
CJ Vergara,Ramazan Temirov,240.0,-298.0,240.0,33.557,0
Jonathan Pearce,Pat Sabatini,-180.0,150.0,55.5556,150.0,0
Themba Gorimbo,Niko Price,-290.0,235.0,34.4828,235.0,1
Junior Tafa,Sean Sharaf,-238.0,195.0,42.0168,195.0,1
Julia Polastri,Cory McKenna,-108.0,-112.0,92.5926,89.2857,1
Dan Argueta,Cody Haddon,124.0,-148.0,124.0,67.5676,0
Clayton Carpenter,Lucas Rocha,-245.0,200.0,40.8163,200.0,1
Alex Pereira,Khalil Rountree Jr.,-425.0,330.0,23.5294,330.0,1
Raquel Pennington,Julianna Pena,-155.0,130.0,64.5161,130.0,0
Jose Aldo,Mario Bautista,102.0,-122.0,102.0,81.9672,0
Roman Dolidze,Kevin Holland,124.0,-148.0,124.0,67.5676,1
Ketlen Vieira,Kayla Harrison,700.0,-1100.0,700.0,9.0909,0
Stephen Thompson,Joaquin Buckley,185.0,-225.0,185.0,44.4444,0
Marina Rodriguez,Iasmin Lucindo,154.0,-185.0,154.0,54.0541,0
Austin Hubbard,Alexander Hernandez,-112.0,-108.0,89.2857,92.5926,0
Cesar Almeida,Ihor Potieria,-500.0,380.0,20.0,380.0,1
Renato Moicano,Benoit Saint Denis,210.0,-258.0,210.0,38.7597,1
Nassourdine Imavov,Brendan Allen,-225.0,185.0,44.4444,185.0,1
William Gomis,Joanderson Brito,245.0,-305.0,245.0,32.7869,1
Kevin Jousset,Bryan Battle,160.0,-192.0,160.0,52.0833,0
Morgan Charriere,Gabriel Miranda,-520.0,390.0,19.2308,390.0,1
Fares Ziam,Matt Frevola,-125.0,105.0,80.0,105.0,1
Ion Cutelaba,Ivan Erslan,-102.0,-118.0,98.0392,84.7458,1
Oumar Sy,Da Woon Jung,-625.0,455.0,16.0,455.0,1
Ludovit Klein,Roosevelt Roberts,-950.0,625.0,10.5263,625.0,1
Taylor Lapilus,Vince Morales,-360.0,285.0,27.7778,285.0,1
Ailin Perez,Daria Zhelezniakova,-245.0,200.0,40.8163,200.0,1
Daniel Barez,Victor Altamirano,105.0,-125.0,105.0,80.0,1
Nora Cornolle,Jacqueline Cavalcanti,170.0,-205.0,170.0,48.7805,0
Bolaji Oki,Chris Duncan,-155.0,130.0,64.5161,130.0,0
Sean O'Malley,Merab Dvalishvili,100.0,-120.0,100.0,83.3333,0
Alexa Grasso,Valentina Shevchenko,-130.0,110.0,76.9231,110.0,0
Brian Ortega,Diego Lopes,170.0,-205.0,170.0,48.7805,0
Daniel Zellhuber,Esteban Ribovics,-198.0,164.0,50.5051,164.0,0
Ronaldo Rodriguez,Ode Osbourne,-205.0,170.0,48.7805,170.0,1
Irene Aldana,Norma Dumont,110.0,-130.0,110.0,76.9231,0
Manuel Torres,Ignacio Bahamondes,-130.0,110.0,76.9231,110.0,0
Yazmin Jauregui,Ketlen Souza,-535.0,400.0,18.6916,400.0,0
Edgar Chairez,Joshua Van,225.0,-278.0,225.0,35.9712,0
Matt Schnell,Cody Durden,225.0,-278.0,225.0,35.9712,0
Trevor Peek,Yanal Ashmouz,105.0,-125.0,105.0,80.0,0
Rongzhu,Chris Padilla,-258.0,210.0,38.7597,210.0,0
Isaac Dulgarian,Brendon Marotte,-2100.0,1100.0,4.7619,1100.0,1
Felipe dos Santos,Andre Lima,140.0,-166.0,140.0,60.241,0
Yizha,Gabriel Santos,220.0,-270.0,220.0,37.037,0
Jaqueline Amorim,Vanessa Demopoulos,-258.0,210.0,38.7597,210.0,1
Andre Petroski,Dylan Budka,-298.0,240.0,33.557,240.0,1
Zygimantas Ramaska,Nathan Fletcher,120.0,-142.0,120.0,70.4225,0
Jared Cannonier,Caio Borralho,260.0,-325.0,260.0,30.7692,0
Angela Hill,Tabatha Ricci,160.0,-192.0,160.0,52.0833,0
Robert Valentin,Ryan Loder,-142.0,120.0,70.4225,120.0,0
Kaan Ofli,Mairon Santos,200.0,-245.0,200.0,40.8163,0
Neil Magny,Michael Morales,600.0,-900.0,600.0,11.1111,0
Edmen Shahbazyan,Gerald Meerschaert,-325.0,260.0,30.7692,260.0,0
Dennis Buzukja,Francis Marshall,180.0,-218.0,180.0,45.8716,0
Zachary Reese,Jose Daniel Medina,-900.0,600.0,11.1111,600.0,1
Viacheslav Borshchev,James Llontop,-258.0,210.0,38.7597,210.0,1
Jacqueline Cavalcanti,Josiane Nunes,-290.0,235.0,34.4828,235.0,1
Dricus Du Plessis,Israel Adesanya,-120.0,100.0,83.3333,100.0,1
Kai Kara-France,Steve Erceg,220.0,-298.0,220.0,33.557,1
Mateusz Gamrot,Dan Hooker,-445.0,310.0,22.4719,310.0,0
Tai Tuivasa,Jairzinho Rozenstruik,195.0,-260.0,195.0,38.4615,0
Li Jingliang,Carlos Prates,320.0,-410.0,320.0,24.3902,0
Junior Tafa,Valter Walker,114.0,-145.0,114.0,68.9655,0
Josh Culibao,Ricardo Ramos,-135.0,105.0,74.0741,105.0,0
Casey O'Neill,Luana Santos,124.0,-160.0,124.0,62.5,1
Jack Jenkins,Herbert Burns,-1050.0,600.0,9.5238,600.0,1
Marcin Tybura,Serghei Spivac,124.0,-160.0,124.0,62.5,0
Damon Jackson,Chepe Mariscal,152.0,-180.0,152.0,55.5556,0
Danny Barlow,Nikolay Veretennikov,-425.0,300.0,23.5294,300.0,1
Chris Gutierrez,Quang Le,-720.0,450.0,13.8889,450.0,1
Cory Sandhagen,Umar Nurmagomedov,280.0,-395.0,280.0,25.3165,0
Shara Magomedov,Michal Oleksiejczuk,-345.0,250.0,28.9855,250.0,1
Marlon Vera,Deiveson Figueiredo,124.0,-148.0,124.0,67.5676,0
Tony Ferguson,Michael Chiesa,360.0,-540.0,360.0,18.5185,0
Mackenzie Dern,Loopy Godinez,-140.0,110.0,71.4286,110.0,1
Joel Alvarez,Elves Brener,-166.0,130.0,60.241,130.0,1
Azamat Murzakanov,Alonzo Menifield,-298.0,240.0,33.557,240.0,1
Mohammad Yahya,Kaue Fernandes,250.0,-345.0,250.0,28.9855,0
Shamil Gaziev,Don'Tale Mayes,-1450.0,750.0,6.8966,750.0,1
Guram Kutateladze,Jordan Vucenic,-160.0,124.0,62.5,124.0,1
Viktoriia Dudakova,Sam Hughes,-230.0,175.0,43.4783,175.0,0
Jai Herbert,Rolando Bedoya,-120.0,-110.0,83.3333,90.9091,1
Sedriques Dumas,Denis Tiuliulin,-238.0,195.0,42.0168,195.0,1
Leon Edwards,Belal Muhammad,-270.0,200.0,37.037,200.0,0
Tom Aspinall,Curtis Blaydes,-425.0,300.0,23.5294,300.0,1
Christian Leroy Duncan,Gregory Rodrigues,-120.0,100.0,83.3333,100.0,0
Arnold Allen,Giga Chikadze,-270.0,220.0,37.037,220.0,1
Nathaniel Wood,Daniel Pineda,-475.0,325.0,21.0526,325.0,1
Molly McCann,Bruna Brasil,-345.0,250.0,28.9855,250.0,0
Jake Hadley,Caolan Loughran,195.0,-238.0,195.0,42.0168,1
Muhammad Mokaev,Manel Kape,-220.0,170.0,45.4545,170.0,1
Amanda Lemos,Virna Jandiroba,-110.0,-120.0,90.9091,83.3333,0
Steve Garcia,SeungWoo Choi,-175.0,145.0,57.1429,145.0,1
Kurt Holobaugh,Kaynan Kruschewsky,124.0,-160.0,124.0,62.5,1
Cody Durden,Bruno Silva,124.0,-160.0,124.0,62.5,0
Dooho Choi,Bill Algeo,190.0,-230.0,190.0,43.4783,1
JeongYeong Lee,Hyder Amil,-218.0,180.0,45.8716,180.0,0
Rose Namajunas,Tracy Cortez,-270.0,200.0,37.037,200.0,1
Santiago Ponzinibbio,Muslim Salikhov,-188.0,145.0,53.1915,145.0,0
Drew Dober,Jean Silva,-110.0,-110.0,90.9091,90.9091,0
Gabriel Bonfim,Ange Loosa,-410.0,320.0,24.3902,320.0,1
Julian Erosa,Christian Rodriguez,220.0,-270.0,220.0,37.037,1
Joshua Van,Charles Johnson,-270.0,220.0,37.037,220.0,0
Jasmine Jasudavicius,Fatima Kline,-160.0,124.0,62.5,124.0,1
Montel Jackson,Da'Mon Blackshear,-115.0,-105.0,86.9565,95.2381,1
Luana Santos,Mariya Agapova,-425.0,300.0,23.5294,300.0,1
Alex Pereira,Jiri Prochazka,-145.0,114.0,68.9655,114.0,1
Dan Ige,Diego Lopes,240.0,-298.0,240.0,33.557,0
Anthony Smith,Roman Dolidze,114.0,-145.0,114.0,68.9655,0
Mayra Bueno Silva,Macy Chiasson,-105.0,-125.0,95.2381,80.0,0
Ian Machado Garry,Michael Page,-200.0,154.0,50.0,154.0,1
Joe Pyfer,Marc-Andre Barriault,-345.0,250.0,28.9855,250.0,1
Cub Swanson,Andre Fili,180.0,-238.0,180.0,42.0168,0
Charles Jourdain,Jean Silva,-135.0,114.0,74.0741,114.0,0
Payton Talbott,Yanis Ghemmouri,-1750.0,850.0,5.7143,850.0,1
Robert Whittaker,Ikram Aliskerov,-130.0,100.0,76.9231,100.0,1
Sergei Pavlovich,Alexander Volkov,-238.0,180.0,42.0168,180.0,0
Kelvin Gastelum,Daniel Rodriguez,-220.0,170.0,45.4545,170.0,1
Shara Magomedov,Antonio Trocoli,-810.0,500.0,12.3457,500.0,1
Johnny Walker,Volkan Oezdemir,-130.0,110.0,76.9231,110.0,0
Nasrat Haqparast,Jared Gordon,-250.0,205.0,40.0,205.0,1
Muhammad Naimov,Felipe Lima,-135.0,114.0,74.0741,114.0,0
Rinat Fakhretdinov,Nicolas Dalby,-395.0,310.0,25.3165,310.0,1
Kyung Ho Kang,Muin Gafurov,150.0,-195.0,150.0,51.2821,0
Magomed Gadzhiyasulov,Brendson Ribeiro,-410.0,290.0,24.3902,290.0,1
Alex Perez,Tatsuro Taira,195.0,-260.0,195.0,38.4615,0
Douglas Silva de Andrade,Miles Johns,140.0,-180.0,140.0,55.5556,0
Timmy Cuamba,Lucas Almeida,-198.0,164.0,50.5051,164.0,0
Brady Hiestand,Garrett Armfield,230.0,-285.0,230.0,35.0877,1
Asu Almabayev,Jose Johnson,-395.0,310.0,25.3165,310.0,1
Josh Quinlan,Adam Fugitt,-145.0,114.0,68.9655,114.0,0
Jimmy Flick,Nate Maness,450.0,-720.0,450.0,13.8889,0
Carli Judice,Gabriella Fernandes,136.0,-162.0,136.0,61.7284,0
Jeka Saragih,Westin Wilson,-360.0,260.0,27.7778,260.0,0
Melquizael Costa,Shayilan Nuerdanbieke,-238.0,180.0,42.0168,180.0,1
Josefine Knutsson,Julia Polastri,-215.0,165.0,46.5116,165.0,1
Jared Cannonier,Nassourdine Imavov,110.0,-130.0,110.0,76.9231,0
Dominick Reyes,Dustin Jacoby,190.0,-250.0,190.0,40.0,1
Raul Rosas Jr.,Ricky Turcios,-298.0,220.0,33.557,220.0,1
Brunno Ferreira,Dustin Stoltzfus,-285.0,230.0,35.0877,230.0,1
Julian Marquez,Zachary Reese,-145.0,114.0,68.9655,114.0,0
Miguel Baeza,Punahele Soriano,-192.0,160.0,52.0833,160.0,0
Edson Barboza,Lerone Murphy,130.0,-166.0,130.0,60.241,0
Khaos Williams,Carlston Harris,-122.0,102.0,81.9672,102.0,1
Themba Gorimbo,Ramiz Brahimaj,-122.0,102.0,81.9672,102.0,1
Alex Caceres,Sean Woodson,220.0,-298.0,220.0,33.557,0
Waldo Cortes-Acosta,Robelis Despaigne,190.0,-230.0,190.0,43.4783,1
Chase Hooper,Viacheslav Borshchev,-110.0,-120.0,90.9091,83.3333,1
Terrance McKinney,Esteban Ribovics,120.0,-150.0,120.0,66.6667,0
Tabatha Ricci,Tecia Pennington,-152.0,128.0,65.7895,128.0,1
Billy Ray Goff,Trey Waters,130.0,-166.0,130.0,60.241,0
Charles Johnson,Jake Hadley,-118.0,-102.0,84.7458,98.0392,1
JJ Aldrich,Veronica Hardy,-102.0,-118.0,98.0392,84.7458,0
Alexandre Pantoja,Steve Erceg,-180.0,150.0,55.5556,150.0,1
Jose Aldo,Jonathan Martinez,140.0,-166.0,140.0,60.241,1
Anthony Smith,Vitor Petrino,320.0,-410.0,320.0,24.3902,1
Michel Pereira,Ihor Potieria,-485.0,370.0,20.6186,370.0,1
Paul Craig,Caio Borralho,390.0,-520.0,390.0,19.2308,0
Jack Shore,Joanderson Brito,180.0,-218.0,180.0,45.8716,0
Karolina Kowalkiewicz,Iasmin Lucindo,280.0,-355.0,280.0,28.169,0
Elves Brener,Myktybek Orolbai,205.0,-250.0,205.0,40.0,0
Joaquim Silva,Drakkar Klose,154.0,-200.0,154.0,50.0,0
Jonathan Pearce,David Onama,-162.0,136.0,61.7284,136.0,0
Tim Means,Uros Medic,210.0,-280.0,210.0,35.7143,0
Rani Yahya,Victor Henry,295.0,-375.0,295.0,26.6667,0
Austin Hubbard,Michal Figlak,145.0,-175.0,145.0,57.1429,1
Don'Tale Mayes,Caio Machado,114.0,-135.0,114.0,74.0741,1
Marnic Mann,Ketlen Souza,280.0,-355.0,280.0,28.169,0
James Llontop,Chris Padilla,-455.0,350.0,21.978,350.0,0
Gabriel Benitez,Maheshate,190.0,-230.0,190.0,43.4783,0
Alex Pereira,Jamahal Hill,-130.0,110.0,76.9231,110.0,1
Zhang Weili,Yan Xiaonan,-455.0,350.0,21.978,350.0,1
Justin Gaethje,Max Holloway,-185.0,154.0,54.0541,154.0,0
Charles Oliveira,Arman Tsarukyan,190.0,-218.0,190.0,45.8716,0
Bo Nickal,Cody Brundage,-1600.0,900.0,6.25,900.0,1
Jiri Prochazka,Aleksandar Rakic,105.0,-125.0,105.0,80.0,1
Calvin Kattar,Aljamain Sterling,154.0,-185.0,154.0,54.0541,0
Holly Holm,Kayla Harrison,350.0,-455.0,350.0,21.978,0
Sodiq Yusuff,Diego Lopes,120.0,-142.0,120.0,70.4225,0
Brendan Allen,Chris Curtis,-225.0,185.0,44.4444,185.0,1
Alexander Hernandez,Damon Jackson,-185.0,154.0,54.0541,154.0,0
Morgan Charriere,Chepe Mariscal,-142.0,120.0,70.4225,120.0,0
Ignacio Bahamondes,Christos Giagos,-310.0,250.0,32.2581,250.0,1
Trevor Peek,Charlie Campbell,130.0,-155.0,130.0,64.5161,0
Court McGee,Alex Morono,285.0,-360.0,285.0,27.7778,0
Valter Walker,Lukasz Brzeski,-250.0,205.0,40.0,205.0,0
Norma Dumont,Germaine de Randamie,-115.0,-105.0,86.9565,95.2381,1
Pedro Falcao,Victor Hugo,130.0,-155.0,130.0,64.5161,0
Dan Argueta,Jean Matsumoto,130.0,-155.0,130.0,64.5161,0
Dylan Budka,Cesar Almeida,-166.0,140.0,60.241,140.0,0
Melissa Mullins,Nora Cornolle,-360.0,285.0,27.7778,285.0,0
Erin Blanchfield,Manon Fiorot,-218.0,180.0,45.8716,180.0,0
Vicente Luque,Joaquin Buckley,-148.0,124.0,67.5676,124.0,0
Chris Weidman,Bruno Silva,145.0,-175.0,145.0,57.1429,1
Nursulton Ruziboev,Sedriques Dumas,-258.0,210.0,38.7597,210.0,1
Bill Algeo,Kyle Nelson,-298.0,240.0,33.557,240.0,0
Chidi Njokuani,Rhys McKee,-130.0,110.0,76.9231,110.0,1
Nate Landwehr,Jamall Emmers,142.0,-170.0,142.0,58.8235,1
Virna Jandiroba,Loopy Godinez,180.0,-218.0,180.0,45.8716,1
Julio Arce,Herbert Burns,-340.0,270.0,29.4118,270.0,1
Dennis Buzukja,Connor Matthews,-118.0,-102.0,84.7458,98.0392,1
Ibo Aslan,Anton Turkalj,-130.0,110.0,76.9231,110.0,1
Amanda Ribas,Rose Namajunas,180.0,-218.0,180.0,45.8716,0
Karl Williams,Justin Tafa,-205.0,170.0,48.7805,170.0,1
Edmen Shahbazyan,AJ Dobson,-192.0,160.0,52.0833,160.0,1
Payton Talbott,Cameron Saaiman,-162.0,136.0,61.7284,136.0,1
Billy Quarantillo,Youssef Zalal,110.0,-130.0,110.0,76.9231,0
Fernando Padilla,Luis Pajuelo,-180.0,150.0,55.5556,150.0,1
Kurt Holobaugh,Trey Ogden,105.0,-125.0,105.0,80.0,0
Ricardo Ramos,Julian Erosa,-175.0,145.0,57.1429,145.0,0
Miles Johns,Cody Gibson,-142.0,120.0,70.4225,120.0,1
Jarno Errens,Steven Nguyen,136.0,-162.0,136.0,61.7284,1
Montserrat Rendon,Daria Zhelezniakova,245.0,-305.0,245.0,32.7869,0
Tai Tuivasa,Marcin Tybura,-118.0,-102.0,84.7458,98.0392,0
Ovince Saint Preux,Kennedy Nzechukwu,455.0,-625.0,455.0,16.0,1
Christian Rodriguez,Isaac Dulgarian,170.0,-205.0,170.0,48.7805,1
Sean O'Malley,Marlon Vera,-290.0,235.0,34.4828,235.0,1
Dustin Poirier,Benoit Saint Denis,180.0,-218.0,180.0,45.8716,1
Kevin Holland,Michael Page,-142.0,120.0,70.4225,120.0,0
Gilbert Burns,Jack Della Maddalena,142.0,-170.0,142.0,58.8235,0
Petr Yan,Song Yadong,-155.0,130.0,64.5161,130.0,1
Curtis Blaydes,Jailton Almeida,114.0,-135.0,114.0,74.0741,1
Katlyn Cerminara,Maycee Barber,154.0,-185.0,154.0,54.0541,0
Mateusz Gamrot,Rafael Dos Anjos,-485.0,370.0,20.6186,370.0,1
Pedro Munhoz,Kyler Phillips,195.0,-238.0,195.0,42.0168,0
Ion Cutelaba,Philipe Lins,-135.0,114.0,74.0741,114.0,0
Michel Pereira,Michal Oleksiejczuk,-155.0,130.0,64.5161,130.0,1
Robelis Despaigne,Josh Parisian,-375.0,295.0,26.6667,295.0,1
Jairzinho Rozenstruik,Shamil Gaziev,150.0,-180.0,150.0,55.5556,1
Vitor Petrino,Tyson Pedro,-455.0,350.0,21.978,350.0,1
Alex Perez,Muhammad Mokaev,320.0,-410.0,320.0,24.3902,0
Umar Nurmagomedov,Bekzat Almakhan,-1350.0,800.0,7.4074,800.0,1
Matt Schnell,Steve Erceg,370.0,-485.0,370.0,20.6186,0
Eryk Anders,Jamie Pickett,-535.0,400.0,18.6916,400.0,1
Vinicius Oliveira,Benardo Sopaj,-175.0,114.0,57.1429,114.0,1
Aiemann Zahabi,Javid Basharat,550.0,-800.0,550.0,12.5,1
Christian Leroy Duncan,Claudio Ribeiro,-410.0,320.0,24.3902,320.0,1
Ludovit Klein,AJ Cunningham,140.0,800.0,140.0,800.0,1
Abdul-Kareem Al-Selwady,Loik Radzhabov,-135.0,114.0,74.0741,114.0,0
Brandon Moreno,Brandon Royval,-305.0,245.0,32.7869,245.0,0
Yair Rodriguez,Brian Ortega,-166.0,140.0,60.241,140.0,0
Daniel Zellhuber,Francisco Prado,-340.0,270.0,29.4118,270.0,1
Yazmin Jauregui,Sam Hughes,-800.0,550.0,12.5,550.0,1
Manuel Torres,Chris Duncan,-170.0,142.0,58.8235,142.0,1
Cristian Quinonez,Raoni Barcelos,136.0,-162.0,136.0,61.7284,0
Jesus Aguilar,Mateus Mendonca,114.0,-135.0,114.0,74.0741,1
Edgar Chairez,Daniel Lacerda,-500.0,380.0,20.0,380.0,1
Claudio Puelles,Fares Ziam,180.0,-218.0,180.0,45.8716,0
Victor Altamirano,Felipe dos Santos,230.0,-285.0,230.0,35.0877,0
Erik Silva,Muhammad Naimov,410.0,-550.0,410.0,18.1818,0
Alexander Volkanovski,Ilia Topuria,-142.0,120.0,70.4225,120.0,0
Robert Whittaker,Paulo Costa,-205.0,170.0,48.7805,170.0,1
Geoff Neal,Ian Machado Garry,210.0,-258.0,210.0,38.7597,0
Merab Dvalishvili,Henry Cejudo,-298.0,240.0,33.557,240.0,1
Anthony Hernandez,Roman Kopylov,-218.0,180.0,45.8716,180.0,1
Amanda Lemos,Mackenzie Dern,-162.0,136.0,61.7284,136.0,1
Marcos Rogerio de Lima,Junior Tafa,-230.0,190.0,43.4783,190.0,1
Rinya Nakamura,Carlos Vera,-1450.0,850.0,6.8966,850.0,1
Zhang Mingyang,Brendson Ribeiro,-110.0,-110.0,90.9091,90.9091,1
Josh Quinlan,Danny Barlow,164.0,-198.0,164.0,50.5051,0
Oban Elliott,Val Woodburn,-380.0,300.0,26.3158,300.0,1
Jack Hermansson,Joe Pyfer,205.0,-250.0,205.0,40.0,1
Dan Ige,Andre Fili,-185.0,154.0,54.0541,154.0,1
Robert Bryczek,Ihor Potieria,-230.0,190.0,43.4783,190.0,0
Brad Tavares,Gregory Rodrigues,190.0,-230.0,190.0,43.4783,0
Michael Johnson,Darrius Flowers,-155.0,130.0,64.5161,130.0,1
Rodolfo Vieira,Armen Petrosyan,-105.0,-115.0,95.2381,86.9565,1
Trevin Giles,Carlos Prates,210.0,-258.0,210.0,38.7597,0
Roman Dolidze,Nassourdine Imavov,150.0,-180.0,150.0,55.5556,0
Renato Moicano,Drew Dober,-205.0,170.0,48.7805,170.0,1
Randy Brown,Muslim Salikhov,-265.0,215.0,37.7358,215.0,1
Viviane Araujo,Natalia Silva,270.0,-340.0,270.0,29.4118,0
Gilbert Urbina,Charles Radtke,-218.0,180.0,45.8716,180.0,0
Sean Strickland,Dricus Du Plessis,-108.0,-112.0,92.5926,89.2857,0
Raquel Pennington,Mayra Bueno Silva,142.0,-170.0,142.0,58.8235,1
Neil Magny,Mike Malott,300.0,-380.0,300.0,26.3158,1
Chris Curtis,Marc-Andre Barriault,-175.0,145.0,57.1429,145.0,1
Arnold Allen,Movsar Evloev,180.0,-218.0,180.0,45.8716,0
Brad Katona,Garrett Armfield,-238.0,195.0,42.0168,195.0,0
Charles Jourdain,Sean Woodson,-218.0,180.0,45.8716,180.0,0
Serhiy Sidey,Ramon Taveras,-198.0,164.0,50.5051,164.0,0
Gillian Robertson,Polyana Viana,-298.0,240.0,33.557,240.0,1
Yohan Lainesse,Sam Patterson,-142.0,120.0,70.4225,120.0,0
Jasmine Jasudavicius,Priscila Cachoeira,-425.0,330.0,23.5294,330.0,1
Magomed Ankalaev,Johnny Walker,-520.0,390.0,19.2308,390.0,1
Jim Miller,Gabriel Benitez,-166.0,130.0,60.241,130.0,1
Ricky Simon,Mario Bautista,-180.0,140.0,55.5556,140.0,0
Phil Hawes,Brunno Ferreira,114.0,-145.0,114.0,68.9655,0
Andrei Arlovski,Waldo Cortes-Acosta,400.0,-620.0,400.0,16.129,0
