RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Target
Charlie Ward,Galore Bofando,175.0,-210.0,175.0,47.619,0
Danny Henry,Daniel Teymur,150.0,-170.0,150.0,58.8235,1
Brett Johns,Albert Morales,-350.0,290.0,28.5714,290.0,1
Leslie Smith,Amanda Lemos,-225.0,185.0,44.4444,185.0,1
Yoel Romero,Robert Whittaker,110.0,-130.0,110.0,76.9231,0
Fabricio Werdum,Alistair Overeem,120.0,-140.0,120.0,71.4286,0
Daniel Omielanczuk,Curtis Blaydes,470.0,-640.0,470.0,15.625,0
Anthony Pettis,Jim Miller,-235.0,195.0,42.5532,195.0,1
Rob Font,Douglas Silva de Andrade,-265.0,225.0,37.7358,225.0,1
Travis Browne,Aleksei Oleinik,-290.0,245.0,34.4828,245.0,0
Chad Laprise,Brian Camozzi,-550.0,425.0,18.1818,425.0,1
Thiago Santos,Gerald Meerschaert,-160.0,140.0,62.5,140.0,1
Jordan Mein,Belal Muhammad,115.0,-135.0,115.0,74.0741,0
Cody Stamann,Terrion Ware,-245.0,205.0,40.8163,205.0,1
Trevin Giles,James Bochnovic,-250.0,210.0,40.0,210.0,1
Michael Johnson,Justin Gaethje,-165.0,145.0,60.6061,145.0,0
Dhiego Lima,Jesse Taylor,150.0,-170.0,150.0,58.8235,0
Jared Cannonier,Nick Roehrick,-350.0,290.0,28.5714,290.0,1
Brad Tavares,Elias Theodorou,-115.0,-105.0,86.9565,95.2381,1
Jordan Johnson,Marcel Fortuna,-190.0,165.0,52.6316,165.0,1
Angela Hill,Ashley Yoder,-340.0,280.0,29.4118,280.0,1
James Krause,Tom Gallicchio,-550.0,425.0,18.1818,425.0,1
Ed Herman,CB Dollaway,125.0,-145.0,125.0,68.9655,0
Tecia Torres,Juliana Lima,-470.0,375.0,21.2766,375.0,1
Gray Maynard,Teruto Ishihara,285.0,-345.0,285.0,28.9855,1
Michael Chiesa,Kevin Lee,125.0,-145.0,125.0,68.9655,0
Tim Boetsch,Johny Hendricks,125.0,-145.0,125.0,68.9655,1
Felice Herrig,Justine Kish,140.0,-160.0,140.0,62.5,1
Tim Means,Alex Garcia,-310.0,255.0,32.2581,255.0,1
BJ Penn,Dennis Siver,115.0,-135.0,115.0,74.0741,0
Clay Guida,Erik Koch,290.0,-350.0,290.0,28.5714,1
Vitor Miranda,Marvin Vettori,315.0,-380.0,315.0,26.3158,0
Devin Powell,Darrell Horcher,360.0,-450.0,360.0,22.2222,0
Jared Gordon,Michel Quinones,-135.0,115.0,74.0741,115.0,1
Anthony Rocco Martin,Johnny Case,-125.0,105.0,80.0,105.0,1
Josh Stansbury,Jeremy Kimball,-160.0,140.0,62.5,140.0,0
Holly Holm,Bethe Correia,-570.0,435.0,17.5439,435.0,1
Andrei Arlovski,Marcin Tybura,190.0,-230.0,190.0,43.4783,0
Dong Hyun Kim,Colby Covington,200.0,-240.0,200.0,41.6667,0
Tarec Saffiedine,Rafael Dos Anjos,170.0,-200.0,170.0,50.0,0
Takanori Gomi,Jon Tuck,325.0,-360.0,325.0,27.7778,0
Cyril Asker,Walt Harris,300.0,-360.0,300.0,27.7778,0
